"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"b2-clause-hierarchy","B2","Managing several levels of subordination","Complex Sentences","Keep subjects, clause boundaries and verb groups clear in a sentence with nested clauses.","A subordinate clause can contain another subordinate clause.","A subordinate clause can contain another subordinate clause. Each clause has its own grammatical subject and verb group. Find the structure from the outside inward: identify what the main clause asserts, then which clause supplies the content, reason or condition. Several verbs at the end do not automatically belong to one group. If the nesting obscures the main point, divide the sentence into two sentences. Accuracy includes choosing a readable structure rather than maximizing sentence length.","Identify each clause's subject and finite verb. Distinguish a nested clause from a single verb cluster. Split a sentence when the hierarchy becomes hard to follow.","Ik denk dat we moeten wachten totdat duidelijk is welke gegevens ontbreken.","I think we should wait until it is clear which data are missing.","Ze vroeg of ik wist waarom de vergadering was verplaatst.","She asked whether I knew why the meeting had been rescheduled.","Do not move all verbs into one undifferentiated final group.","Extends B1 subordinate clauses with nested content and question clauses.","109","12","false"
"b2-advanced-word-order","B2","Placing known and new information in the middle field","Word Order","Use object and adverb placement to distinguish familiar information from a new assertion.","Within the Dutch middle field, order is influenced by definiteness, length and emphasis as well as grammatical role.","Within the Dutch middle field, order is influenced by definiteness, length and emphasis as well as grammatical role. A short, unstressed pronoun usually occurs early. A full noun phrase may occur later when it introduces new information or carries contrast. Time, manner and place are useful labels but not an inflexible ordering algorithm. Compare sentences in context and ask which part answers the current question. Preserve the finite-verb position and final verb group while adjusting the middle field.","Place weak pronouns early. Give heavy or newly introduced material enough space. Use context and stress to interpret alternative orders.","Ik heb het gisteren aan de nieuwe projectleider uitgelegd.","I explained it to the new project leader yesterday.","We hebben gisteren een uitgebreid voorstel van de gemeente ontvangen.","Yesterday we received a detailed proposal from the municipality.","Do not reject every order that differs from a rigid time-manner-place list.","Extends b1-long-sentence-bracket with information structure and object weight.","110","12","false"
"b2-three-verb-groups","B2","Using longer verb groups with replacement infinitives","Word Order","Construct common subordinate perfect groups containing a modal and another infinitive.","In a perfect construction with a modal and its dependent infinitive, the modal takes the replacement infinitive.","In a perfect construction with a modal and its dependent infinitive, the modal takes the replacement infinitive. In a subordinate clause, the finite auxiliary commonly comes before the two infinitives: dat zij heeft moeten vertrekken. This differs from the freer order of a simple auxiliary and participle. Separable particles and additional infinitives can create regional and stylistic variation; learn common Netherlands Dutch patterns before experimenting with alternatives. A long cluster is not a reason to add te after an ordinary modal.","Use the replacement infinitive where the construction requires it. Prefer heeft moeten werken in a subordinate clause. Do not transfer two-verb participle variation to every larger group.","Ze legde uit dat ze onverwacht had moeten vertrekken.","She explained that she had had to leave unexpectedly.","Ik ben blij dat we het probleem hebben kunnen oplossen.","I am glad that we were able to solve the problem.","Avoid: dat we het probleem hebben gekund oplossen.","Extends b1-perfect-modals and b1-subordinate-verb-groups.","111","12","false"
"b2-extraposition","B2","Moving heavy information after the final verb group","Word Order","Use a natural afterfield while keeping core sentence structure clear.","A long prepositional phrase or subordinate clause can occur after the final verb group.","A long prepositional phrase or subordinate clause can occur after the final verb group. This afterfield can prevent a sentence bracket from becoming difficult to process. Not every constituent can be moved there equally freely: an ordinary unstressed object should not be treated as an afterthought by default. Extraposition is especially useful when a complement clause is long. Keep the relationship between the postponed material and its governing verb or noun clear.","Use the afterfield for a heavy phrase or clause when natural. Keep weak pronouns in the middle field. Avoid placing essential short objects after the verb group mechanically.","We hebben lang gesproken over de gevolgen van het nieuwe beleid.","We talked at length about the consequences of the new policy.","Ik had niet verwacht dat de onderhandelingen zo lang zouden duren.","I had not expected the negotiations to last so long.","Do not confuse normal extraposition with the unrestricted English placement of objects after verbs.","Extends B1 sentence brackets to a controlled afterfield.","112","12","false"
"b2-contrastive-fronting","B2","Fronting an object to mark a contrast","Information Structure","Move an object or complement to the beginning without confusing it with the subject.","The first position can contain an object or complement that is contrasted with another possibility.","The first position can contain an object or complement that is contrasted with another possibility. Main-clause verb-second order remains in force, so the subject follows the finite verb. Context and pronoun case help identify the grammatical roles. Fronting is useful for comparing alternatives or maintaining a topic across sentences; repeated unusual fronting can sound heavy. If the fronted phrase is resumed by a pronoun, that is a different spoken topic construction, not the same basic pattern.","Identify the fronted element's role. Keep the finite verb second. Use contrastive fronting when the context gives a reason for it.","Die conclusie kan ik niet ondersteunen.","I cannot support that conclusion.","Over de planning zijn we het eens, maar over het budget nog niet.","We agree about the schedule, but not yet about the budget.","Do not assume the first noun phrase must be the subject.","Adds deliberate contrastive focus beyond B1 fronted time clauses.","113","12","false"
"b2-cleft-constructions","B2","Highlighting a person, thing or reason with a cleft","Information Structure","Use het is ... die/dat and wat ... is to emphasize a selected element.","A cleft divides a proposition into a highlighting clause and a clause that supplies the remaining information.","A cleft divides a proposition into a highlighting clause and a clause that supplies the remaining information. Het is Noor die ... highlights a person. Wat we nodig hebben, is ... highlights the answer to an open description. The relative element depends on the construction, so avoid copying English it is ... that word for word in every case. Clefts are useful for correction and emphasis but can make an otherwise simple paragraph unnecessarily elaborate.","Use a cleft to identify the focused element. Keep the relative clause's verbs in subordinate order. Use wat when the opening clause has no explicit noun antecedent.","Het is de planning die ons de meeste problemen oplevert.","It is the schedule that causes us the most problems.","Wat we nu nodig hebben, is een duidelijke beslissing.","What we need now is a clear decision.","Avoid adding a cleft merely to make every sentence sound formal.","Extends relative clauses into information packaging and corrective emphasis.","114","12","false"
"b2-restrictive-relative-clauses","B2","Distinguishing identifying information from extra information","Relative Clauses","Use context and punctuation to distinguish two functions of a relative clause.","An identifying relative clause limits which people or things are meant.","An identifying relative clause limits which people or things are meant. A supplementary relative clause adds information about an already identified referent and is normally set off with commas. The distinction can change the claim: colleagues who work remotely may be only some colleagues, whereas a parenthetical clause can characterize the entire already identified group. Dutch does not adopt the English which-versus-that distinction as a universal rule; die and dat still depend on Dutch grammar.","Ask whether the clause identifies a subset or adds a comment. Set supplementary information off with commas. Do not transfer an English punctuation rule mechanically.","De medewerkers die thuiswerken, krijgen een extra beeldscherm.","The employees who work from home receive an additional monitor.","Onze directeur, die meestal thuiswerkt, komt morgen naar kantoor.","Our director, who usually works from home, is coming to the office tomorrow.","Do not treat commas as purely decorative; they can affect the intended reference.","Extends b1-embedded-relative-clauses with reference and punctuation.","115","12","false"
"b2-free-relative-clauses","B2","Using wie and wat without a stated antecedent","Relative Clauses","Create a clause that means whoever or what without first naming a noun.","A free relative clause has no separately stated noun antecedent.","A free relative clause has no separately stated noun antecedent. Wie refers to a person or people, while wat refers to a thing, action or idea. The entire clause can function as a subject or object. A main clause following an initial free relative still has its own structure. Wie can express a general condition, as in wie te laat komt, mist de uitleg. Distinguish this construction from an indirect question, even though the forms may look similar.","Use wie for a person and wat for a thing or idea. Treat the complete free relative as one constituent. Identify its function in the main clause.","Wie zich op tijd aanmeldt, ontvangt een bevestiging.","Anyone who registers in time receives a confirmation.","Ik waardeer wat je voor het team hebt gedaan.","I appreciate what you have done for the team.","Do not add an unnecessary dat after wie or wat.","Extends b1-relative-wat from stated antecedents to free relatives.","116","12","false"
"b2-relative-possession","B2","Expressing possession inside a relative clause","Relative Clauses","Choose a clear possessive relative construction for people and things.","Possession can be expressed with a relative clause containing van wie or waarvan.","Possession can be expressed with a relative clause containing van wie or waarvan. In formal writing, wiens and wier also occur, but they are much less common in everyday speech and require care with their referents. A plain van wie construction is often more accessible. For a thing, waarvan ... het/de can express a part-whole relationship. Make the possessed noun and its article clear rather than omitting them to imitate English whose.","Prefer clear van wie or waarvan constructions in ordinary use. Recognize wiens and wier in formal texts. Keep the possessed noun explicit.","Dat is de onderzoeker van wie het artikel gisteren verscheen.","That is the researcher whose article appeared yesterday.","We bezochten een gebouw waarvan het dak onlangs is vernieuwd.","We visited a building whose roof was recently replaced.","Do not use wie for an inanimate antecedent merely because English uses whose.","Extends b1-relative-prepositions with possession; formal alternatives are for recognition and careful use.","117","12","false"
"b2-impersonal-passive","B2","Using a passive without a personal subject","Passive Voice","Describe an activity with er when there is no direct object to become the subject.","Some intransitive activities can be expressed in an impersonal passive.","Some intransitive activities can be expressed in an impersonal passive. Er often occupies the subject-related position, while the finite verb remains singular: er wordt gewerkt. The construction focuses on an activity taking place, not on an object being acted upon. It is common in announcements and descriptions. Not every intransitive verb permits this naturally; states and events without an acting participant often resist it. Do not invent a personal subject merely to match English.","Use singular wordt or werd in an impersonal passive. Use the construction for suitable activities. Distinguish this er from quantitative or prepositional er.","Er wordt in deze ruimte niet gerookt.","There is no smoking in this room.","Tijdens de bijeenkomst werd uitvoerig over het voorstel gesproken.","The proposal was discussed at length during the meeting.","Avoid plural agreement with an object inside a prepositional phrase.","Extends B1 personal passives to activities without a promoted direct object.","118","12","false"
"b2-passive-with-modals","B2","Combining passive meaning with modals and perfect infinitives","Passive Voice","Use worden or zijn inside a modal construction while preserving the time relationship.","A modal can govern a passive infinitive group: moet worden gecontroleerd expresses a required checking process.","A modal can govern a passive infinitive group: moet worden gecontroleerd expresses a required checking process. Moet zijn gecontroleerd normally means that the check must already be complete or that completion is inferred, depending on context. The lexical participle stays unchanged. Keep the distinction between obligation about a future process and a statement about a completed result. Adding more auxiliaries should make the timeline more precise, not simply make the sentence longer.","Use modal plus worden plus participle for a passive process. Use zijn plus participle when completion is relevant. Interpret the modal in context.","Het formulier moet vóór vrijdag worden ingeleverd.","The form must be submitted before Friday.","De betaling moet inmiddels zijn verwerkt.","The payment must have been processed by now.","Do not treat worden and zijn as interchangeable after a modal.","Extends B1 passive forms through modality and relative completion.","119","12","false"
"b2-passive-or-adjective","B2","Distinguishing a passive event from an adjectival state","Passive Voice","Use context and construction to distinguish an action from its resulting state.","A participle can be part of a verbal passive or describe a state like an adjective.","A participle can be part of a verbal passive or describe a state like an adjective. De deur wordt gesloten presents a process; de deur is gesloten can report a completed action or describe its result. A clear adjective such as dicht removes some of that ambiguity. Event-related adverbs and an actor phrase can favour a verbal reading, while a description of an enduring condition can favour an adjectival reading. The boundary is not always sharp.","Use worden to foreground a process. Use an ordinary adjective when you specifically mean a state and one is available. Read participles in context.","De winkel wordt om zes uur gesloten.","The shop is closed at six o'clock.","De winkel is vandaag dicht wegens onderhoud.","The shop is closed today for maintenance.","Do not label every occurrence of zijn plus participle as exactly the same tense or meaning.","Extends b1-passive-perfect with the verbal-adjectival distinction.","120","12","false"
"b2-recipient-passive","B2","Understanding krijgen with a participle","Passive Voice","Recognize constructions that make the recipient the subject.","Krijgen with a participle can foreground a recipient rather than the direct object of an active clause.","Krijgen with a participle can foreground a recipient rather than the direct object of an active clause. In zij krijgt de prijs uitgereikt, zij receives something that someone presents. This pattern occurs with verbs involving transfer, communication or assignment, but it is not a universal substitute for worden. A direct object may remain in the sentence. Learn natural combinations such as iets aangeboden, uitgelegd or toegewezen krijgen.","Interpret the subject as the recipient. Retain the thing transferred or explained as an object. Do not use krijgen with every passive verb.","De winnaar kreeg de prijs persoonlijk uitgereikt.","The winner was presented with the prize in person.","We krijgen de resultaten volgende week toegestuurd.","The results will be sent to us next week.","Avoid assuming that the remaining noun phrase must become the grammatical subject.","Adds a recipient-oriented construction beyond the B1 worden passive.","121","12","false"
