lesson_id|focus_1|wrong_1|wrong_2|focus_2|blank_hint|third_type
a1-basic-sentences|woon|woont|wonen|komt|Use komen with de bus.|ordering
a1-subject-pronouns|Zij|Wij|Jullie|Zij|Use zij or ze for they.|correction
a1-present-zijn|ben|is|zijn|zijn|Use zijn with the plural subject.|correction
a1-infinitives-stems|woon|won|woont|reis|Write the stem of reizen.|correction
a1-present-regular|werkt|werk|werken|wonen|Use wonen with wij.|correction
a1-present-common-irregulars|heeft|heb|hebben|gaan|Use gaan with wij.|correction
a1-yes-no-questions|Werk|Werkt|Werken|Heeft|Use hebben with u.|ordering
a1-question-words|Wanneer|Wie|Wat|Welk|Use the form of which that belongs with boek.|ordering
a1-verb-second|werkt|werk|werken|ga|Use gaan with ik after the opening phrase.|ordering
a1-articles|een|het|de|De|Use the definite plural article.|correction
a1-noun-plurals|auto's|auto|autoen|boeken|Write the plural of boek.|correction
a1-diminutives|tafeltje|tafelje|tafeltjen|huisjes|Write the plural diminutive of huis.|correction
a1-demonstratives|Deze|Dit|Dat|Dat|Use the form of that belonging with huis.|correction
a1-possessives|Ons|Onze|Onz|Onze|Write our before a plural noun.|correction
a1-adjective-position|mooie|mooi|moois|klein|Use klein after zijn.|correction
a1-adjective-endings|kleine|klein|kleins|groot|Use groot after een before the het-word raam.|correction
a1-negation-geen|geen|niet|niets|geen|Negate the indefinite noun melk.|correction
a1-negation-niet|niet|geen|niets|niet|Negate knowing this definite person.|ordering
a1-object-pronouns|me|ik|mijn|jou|Use the object form for you after voor.|correction
a1-place-prepositions|onder|naar|tot|naar|Supply the destination preposition.|correction
a1-time-prepositions|op|om|in|tot|Complete van negen ... vijf.|correction
a1-time-manner-place|ga|gaat|gaan|ga|Use gaan with ik after morgen.|ordering
a1-modals-ability-permission|kan|kunt|kunnen|Mag|Use mogen to ask permission.|ordering
a1-modals-obligation-wishes|moeten|moet|moetens|wil|Use willen with zij (she).|correction
a1-separable-present|op|opstaan|opsta|opstaan|Use the infinitive of opstaan after moeten.|ordering
a1-imperative|Lees|Leest|Lezen|Doe|Write the imperative of doen.|correction
a1-coordination|want|omdat|dat|maar|Use the coordinating conjunction meaning but.|ordering
a1-existential-er|is|zijn|ben|er|Supply the word that introduces the presence of chairs.|correction
a1-perfect-introduction|gewerkt|werken|gewerk|gewerkt|Supply the participle of werken.|ordering
a1-perfect-regular|gewoond|gewoont|gewoon|gekookt|Supply the participle of koken.|correction
a1-perfect-common-irregulars|gegeten|geëet|gegeten heb|gegaan|Supply the participle of gaan.|correction
