lesson_id|cefr_level|sort_order|title|category|main_concept|prerequisites
a1-basic-sentences|A1|1|Building your first sentences|Sentence Structure|Subject and finite verb in short statements|
a1-subject-pronouns|A1|2|Choosing subject pronouns|Pronouns|Subject forms, unstressed forms and formal u|a1-basic-sentences
a1-present-zijn|A1|3|Saying who and where you are with zijn|Present Tense|Complete present paradigm of zijn|a1-subject-pronouns
a1-infinitives-stems|A1|4|Finding the verb stem|Present Tense|Infinitives, vowel length, doubled consonants and final v/z|a1-subject-pronouns
a1-present-regular|A1|5|Regular verbs in the present tense|Present Tense|Stem, stem plus t and plural infinitive|a1-infinitives-stems
a1-present-common-irregulars|A1|6|Using hebben, gaan, komen and doen|Present Tense|High-frequency present forms, including hebben|a1-present-regular;a1-present-zijn
a1-yes-no-questions|A1|7|Making yes/no questions|Questions|Verb first and jij/je inversion without added t|a1-present-common-irregulars
a1-question-words|A1|8|Asking who, what, where and how|Questions|Question-word phrases and subject questions|a1-yes-no-questions
a1-verb-second|A1|9|Starting a sentence with time or place|Word Order|Constituent-based verb-second and simple inversion|a1-yes-no-questions
a1-articles|A1|10|Choosing de, het and een|Articles|Definite and indefinite noun phrases, gender learned with nouns|a1-basic-sentences
a1-noun-plurals|A1|11|Talking about more than one|Nouns|Common -en/-s plurals and spelling patterns|a1-articles;a1-infinitives-stems
a1-diminutives|A1|12|Recognising small things with -je|Nouns|Common diminutive forms, het and plural -s|a1-noun-plurals
a1-demonstratives|A1|13|Pointing with deze, die, dit and dat|Pronouns|Near/far demonstratives and noun agreement|a1-articles;a1-noun-plurals
a1-possessives|A1|14|Saying whose things they are|Possession|Possessive determiners including ons/onze|a1-subject-pronouns;a1-articles
a1-adjective-position|A1|15|Describing people and things|Adjectives|Adjectives before nouns versus after zijn|a1-present-zijn;a1-articles
a1-adjective-endings|A1|16|Adding -e to an adjective|Adjectives|Basic noun phrase grid and indefinite singular het exception|a1-adjective-position;a1-demonstratives;a1-possessives
a1-negation-geen|A1|17|Saying no or not a with geen|Negation|Negating an indefinite noun phrase|a1-articles;a1-noun-plurals
a1-negation-niet|A1|18|Making a sentence negative with niet|Negation|Simple clause, adjective and location negation versus geen|a1-negation-geen;a1-adjective-position
a1-object-pronouns|A1|19|Using me, you, him and her as objects|Pronouns|Basic object forms and common unstressed alternatives|a1-subject-pronouns;a1-present-regular
a1-place-prepositions|A1|20|Saying where things are|Prepositions|Common spatial relations, residence and destination|a1-articles;a1-present-common-irregulars
a1-time-prepositions|A1|21|Saying when things happen|Prepositions|Om, op, in and van ... tot with basic time expressions|a1-question-words
