"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"a1-basic-sentences","A1","Building your first sentences","Sentence Structure","Build a short statement with a subject and a verb.","Say who does something or who is somewhere. Recognise the two parts that form the core of a Dutch sentence.","A subject tells us who or what the sentence is about: ik (I), Sara, or de bus (the bus). A verb describes an action or a state, such as work, live or be. The finite verb is the verb form that changes to match the subject and the time: ik werk, but wij werken.

Begin with subject + finite verb: Ik werk. You can add information after the verb: Ik werk vandaag. Dutch normally needs a subject even when English uses an impersonal it: Het regent (It is raining). You will learn the verb forms in the next lessons. For now, notice where the subject and verb are.

In a statement starting with the subject, keep these two parts next to each other. Later you can put time or place first while keeping the finite verb in the second position.","Start a simple statement with subject + finite verb, then add the remaining information.","Ik woon hier.","I live here.","De bus komt vandaag.","The bus is coming today.","Do not omit the subject as in 'Ben thuis.' A complete neutral statement is 'Ik ben thuis.'","Short replies and informal messages sometimes omit words. Practise complete sentences first.","1","3","false"
"a1-subject-pronouns","A1","Choosing subject pronouns","Pronouns","Choose a subject pronoun for the speaker, listener or another person.","Replace names with Dutch words for I, you, he, she, it, we and they. Choose a polite or informal form of you.","Subject pronouns replace a name or noun acting as the subject. Singular forms are ik (I), jij/je (you, informal), u (you, polite), hij (he), zij/ze (she) and het (it). Plural forms are wij/we (we), jullie (you) and zij/ze (they). The verb and the context show whether zij/ze means she or they.

Jij, zij and wij can carry emphasis. In Jij werkt, stressing jij contrasts you with someone else. Je, ze and we are common unstressed forms in speech and writing. They are not less correct. Use jij/je with people you address informally and u when a polite distance is appropriate. U uses a singular verb form even when politely addressing more than one person.

Unlike English I, ik is capitalised only at the start of a sentence.","Use ik, jij/je, u, hij, zij/ze or het for a singular subject; use wij/we, jullie or zij/ze for a plural subject.","Zij woont hier.","She lives here.","Zij wonen hier.","They live here.","Do not assume ze always means she. Compare ze woont (she lives) and ze wonen (they live).","These are the basic subject forms. Further object and reflexive forms come later.","2","4","false"
"a1-present-zijn","A1","Saying who and where you are with zijn","Present Tense","Use present forms of zijn to describe identity, location and condition.","Introduce yourself and say where someone is or how they feel using the Dutch verb to be.","Zijn means to be. Its present forms do not follow the regular verb pattern, so learn them together: ik ben; jij/je bent; u bent; hij/zij/het is; wij/we zijn; jullie zijn; zij/ze zijn. U is also occurs in Standard Dutch, but u bent is a useful consistent starting form.

Use zijn with a name, a description or a place: Ik ben Sara; de koffie is warm; wij zijn thuis. Dutch does not need an extra verb in these sentences. A plural noun also takes zijn: de kinderen zijn thuis.

For most routine statements of profession, Dutch omits the indefinite article: Ik ben leraar means I am a teacher. You will study article choice in a later lesson.","Learn ben, bent, is and zijn as the present forms of zijn; match the form to the subject.","Ik ben vandaag thuis.","I am at home today.","De kinderen zijn moe.","The children are tired.","Say 'Wij zijn thuis', not 'Wij is thuis'. The verb agrees with the plural subject.","Before subject jij/je in an inverted question, bent becomes ben: Ben je thuis? This is explained in the question lesson.","3","4","false"
"a1-infinitives-stems","A1","Finding the verb stem","Present Tense","Find the written stem of common regular Dutch verbs.","Start from the dictionary form and make the spelling changes needed for forms such as ik werk and ik woon.","The infinitive is the dictionary form: werken, wonen, maken. Most Dutch infinitives end in -en. Removing -en gives a starting point for the stem, but spelling may need adjustment.

Keep the vowel sound: wonen becomes woon and maken becomes maak. A long vowel written once in an open syllable often needs two letters when that syllable closes. Remove a doubled final consonant: werken becomes werk and stoppen becomes stop, not stopp. At the end of a Dutch syllable, v changes to f and z to s: leven becomes leef; reizen becomes reis.

Check the infinitive as well as the finished stem. This matters later for past forms: leven has a v before -en, even though the written stem ends in f. Short irregular infinitives such as gaan and doen need their own forms rather than this mechanical procedure.","Remove -en, preserve the vowel sound, avoid doubled final consonants, and change final v/z to f/s where necessary.","Ik woon in een klein huis.","I live in a small house.","Ik reis met de trein.","I travel by train.","Wonen gives woon, not won. Reizen gives reis, not reiz. Do not forget the spelling adjustment after removing -en.","This is a practical starting pattern. Learn irregular stems and unfamiliar vowel spellings with the verb.","4","5","false"
"a1-present-regular","A1","Regular verbs in the present tense","Present Tense","Form regular present-tense verbs for singular and plural subjects.","Use one verb to talk about yourself, another person or a group.","For a regular verb, use the stem with ik: ik werk. With jij/je, u, hij, zij/ze and het, normally add -t: jij werkt, u werkt, hij werkt. A singular noun behaves like hij/zij/het: mijn broer werkt. With wij/we, jullie and plural zij/ze, use the infinitive: wij werken.

If the stem already ends in t, do not add a second t: ik wacht, zij wacht. If it ends in d, keep the d and add t: ik antwoord, zij antwoordt. Plural spelling returns to the infinitive: ik woon, wij wonen.

The Dutch present can describe a routine or what is happening now. Ik werk can mean I work or I am working. Do not add a form of zijn merely because English uses am/is/are plus -ing.","Regular present: ik uses the stem; other singular subjects normally add -t to the stem; plural subjects use the infinitive. Do not double a final t.","Mijn broer werkt in een winkel.","My brother works in a shop.","Wij wonen naast het station.","We live beside the station.","Say 'Ik werk nu', not 'Ik ben werk nu'. The ordinary present already expresses an action happening now.","The added -t disappears when subject jij/je follows the verb. The next question lessons explain this.","5","5","false"
"a1-present-common-irregulars","A1","Using hebben, gaan, komen and doen","Present Tense","Use the present forms of hebben, gaan, komen and doen.","Say what you have, where you go, who comes and what someone does with four essential verbs.","Hebben means to have: ik heb; jij/je hebt; u hebt or u heeft; hij/zij/het heeft; wij/jullie/zij hebben. Use hebben for possession and several everyday conditions: ik heb een fiets, ik heb honger.

Gaan uses ik ga, jij/u/hij gaat, and plural gaan. Komen uses ik kom, jij/u/hij komt, and plural komen. Doen uses ik doe, jij/u/hij doet, and plural doen. Zij/ze singular follows the hij form; we follows wij. Learn the singular forms rather than trying to remove letters blindly from these infinitives.

These verbs keep the same sentence positions as regular verbs. The finite form follows a subject at the beginning of a neutral statement. A plural noun takes the plural form: de kinderen komen.","Learn heb/hebt/heeft/hebben, ga/gaat/gaan, kom/komt/komen and doe/doet/doen as complete present patterns.","Mijn zus heeft een nieuwe fiets.","My sister has a new bicycle.","Wij gaan naar huis.","We are going home.","Say 'Hij heeft een fiets', not 'Hij hebt een fiets'. Hebt belongs with jij/je and can be used with u.","Hebben and zijn will also help form the perfect tense near the end of A1.","6","5","false"
"a1-yes-no-questions","A1","Making yes/no questions","Questions","Turn a simple statement into a yes/no question.","Put the verb before the subject and handle the special jij/je spelling change.","A yes/no question begins with the finite verb, followed by the subject: Jij werkt vandaag becomes Werk jij vandaag? This change of order is called inversion. Dutch does not insert an equivalent of English do or does to make the question.

When subject jij or je comes after the verb, remove the added present-tense -t: jij werkt becomes werk jij; jij bent becomes ben jij. Keep a t that belongs to the stem itself: jij wacht becomes wacht jij. U does not follow this t-removal rule: werkt u, bent u. Nor does hij: werkt hij.

Check whether je is really the subject. In Werkt je moeder vandaag?, the subject is je moeder (your mother), not je alone, so werkt keeps its -t.","Yes/no question: finite verb + subject + remaining information. Drop only the added present -t before subject jij/je.","Werk je vandaag?","Are you working today?","Heeft u een afspraak?","Do you have an appointment?","Use 'Werk je?' but 'Werkt u?' Do not remove the -t merely because a question contains the word je.","Some modal verbs have additional accepted forms. Their own lessons give the useful patterns.","7","5","false"
"a1-question-words","A1","Asking who, what, where and how","Questions","Ask for specific information using Dutch question words.","Ask about people, things, places, times, reasons, ways and amounts.","Useful question words are wie (who), wat (what), waar (where), wanneer (when), waarom (why), hoe (how), hoeveel (how much/many) and welke (which). A question phrase comes first, then the finite verb, then the subject: Waar woon je? Hoe laat begint de les? A multiword phrase such as hoe laat occupies one position.

If the question word itself asks for the subject, do not add another subject: Wie komt? means Who is coming? Compare Wie zie je? (Whom do you see?), where je is the subject.

Welke normally comes before a de-word or plural noun: welke bus, welke boeken. Use welk before a singular het-word: welk boek. Hoeveel combines with amounts and counts: hoeveel water, hoeveel kinderen.","Usually use question phrase + finite verb + subject. If the question word is the subject, follow it directly with its verb.","Wanneer begint de les?","When does the lesson start?","Welk boek lees je?","Which book are you reading?","Say 'Waar woon je?', not 'Waar je woont?' for a direct question. Also avoid adding an extra pronoun in 'Wie komt?'","Indirect questions use a different pattern and are introduced in A2.","8","5","false"
"a1-verb-second","A1","Starting a sentence with time or place","Word Order","Start a statement with time or place while keeping Dutch verb-second order.","Move phrases such as vandaag or na de les to the front without losing the correct verb position.","In an ordinary Dutch main-clause statement, the finite verb normally occupies position two. A main clause is a clause that can work as a sentence on its own. Position means a meaningful phrase, not a single written word.

Compare Ik werk morgen with Morgen werk ik. Morgen fills position one, so the verb follows and the subject comes next. The same happens with a longer phrase: Na de les ga ik naar huis. Na de les is one unit even though it contains three words.

Do not put both a fronted time phrase and the subject before the finite verb. When jij/je follows the verb, the same t-removal rule applies as in questions: Morgen werk je thuis. This word order also occurs in statements, not just questions.","Fronted phrase + finite verb + subject + rest. Count sentence parts, not individual words.","Vandaag werkt mijn moeder thuis.","Today my mother is working at home.","Na de les ga ik naar huis.","After the lesson I am going home.","Say 'Vandaag werk ik', not 'Vandaag ik werk'. Keep the finite verb in the second position.","Yes/no questions start with the verb. Subordinate clauses have a different pattern, taught in A2.","9","4","false"
"a1-articles","A1","Choosing de, het and een","Articles","Choose a definite or indefinite article with a familiar Dutch noun.","Distinguish the from a/an and learn why nouns need to be memorised with de or het.","A noun names a person, thing or idea. An article comes before it. Dutch has two definite articles meaning the: de and het. Learn a singular noun together with its article: de fiets, het huis. There is no simple rule that predicts every noun's article from its meaning or its English translation.

Een means a or an and works with either kind of singular count noun: een fiets, een huis. In the plural, both types use de when definite: de fietsen, de huizen. An indefinite plural usually has no article: Ik koop boeken.

Materials and substances often appear without an indefinite article: Ik drink water. Do not put een before every noun. The noun's de/het class is still relevant when you do use the definite form.","Singular definite: learned de or het. Singular indefinite count noun: een. Definite plural: de; indefinite plural usually no article.","Ik koop een boek.","I am buying a book.","De boeken liggen op de tafel.","The books are on the table.","Use 'het huis' but 'de huizen'. Do not keep het when making the noun plural.","Learn gender with vocabulary. Common profession statements such as Ik ben leraar normally omit een.","10","4","false"
"a1-noun-plurals","A1","Talking about more than one","Nouns","Form and recognise common Dutch noun plurals.","Use frequent -en and -s patterns while preserving the correct spelling and article.","Many nouns form a plural with -en: boek becomes boeken. Others use -s, especially after an unstressed ending: tafel becomes tafels. Learn the plural with the noun because these patterns are not a complete prediction system.

Spelling keeps the vowel sound. A short vowel may need a doubled following consonant: man becomes mannen. A long doubled vowel can become single in an open syllable: raam becomes ramen. Some nouns change f to v or s to z: brief becomes brieven; huis becomes huizen. Not every noun with f or s makes this change.

After certain final vowel letters, an apostrophe keeps pronunciation clear: auto becomes auto's. After an unstressed e, no apostrophe is needed: tante becomes tantes. Learn common irregular forms such as kind-kinderen and ei-eieren separately.","Common plurals use -en or -s, with spelling changes where needed; all definite plural nouns take de.","Ik zie twee auto's.","I see two cars.","De kinderen lezen boeken.","The children are reading books.","Write 'mannen', not 'manen', for the plural of man. The spelling change preserves the short vowel.","Treat unfamiliar plurals as vocabulary to check, not as proof that every noun follows one rule.","11","5","false"
"a1-diminutives","A1","Recognising small things with -je","Nouns","Recognise common diminutives and choose their article and plural.","Understand forms such as huisje and tafeltje without learning every diminutive spelling rule at once.","A diminutive is a noun form often used for something small or as a friendly expression. Common forms include huis-huisje, tafel-tafeltje, boom-boompje and man-mannetje. The ending depends on the noun's sounds and spelling; do not simply add -je to every word.

Singular diminutives take het, even when the original noun takes de: de tafel, het tafeltje. Their plurals normally add -s and use de: de tafeltjes.

A diminutive is not always literally small. Een kopje koffie is an ordinary cup of coffee, and meisje is the usual word for girl. At this stage, learn common complete forms and recognise the reliable article and plural patterns.","A singular diminutive takes het; its plural normally ends in -s and takes de.","We hebben een tafeltje bij het raam.","We have a small table by the window.","De huisjes zijn wit.","The little houses are white.","Say 'het tafeltje', not 'de tafeltje', even though the base noun is de tafel.","The complete set of diminutive spelling endings is beyond this introductory lesson.","12","3","false"
