dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
mens,person,A1,noun,People and family,Ieder mens heeft een naam.,Every person has a name.,,,de,mensen,,,,,,,,,false
man,man,A1,noun,People and family,Die man woont hier.,That man lives here.,,,de,mannen,,,,,,,,,false
vrouw,woman,A1,noun,People and family,De vrouw drinkt thee.,The woman is drinking tea.,,,de,vrouwen,,,,,,,,,false
kind,child,A1,noun,People and family,Het kind speelt buiten.,The child is playing outside.,,,het,kinderen,,,,,,,,,false
baby,baby,A1,noun,People and family,De baby slaapt.,The baby is sleeping.,,,de,baby's,,,,,,,,,false
jongen,boy,A1,noun,People and family,De jongen fietst naar school.,The boy cycles to school.,,,de,jongens,,,,,,,,,false
meisje,girl,A1,noun,People and family,Het meisje leest een boek.,The girl is reading a book.,,,het,meisjes,,,,,,,,,false
vader,father,A1,noun,People and family,Mijn vader kookt vandaag.,My father is cooking today.,,,de,vaders,,,,,,,,,false
moeder,mother,A1,noun,People and family,Mijn moeder werkt thuis.,My mother works at home.,,,de,moeders,,,,,,,,,false
ouder,parent,A1,noun,People and family,Een ouder wacht bij de school.,A parent is waiting by the school.,,,de,ouders,,,,,,,,,false
zoon,son,A1,noun,People and family,Onze zoon is vijf jaar.,Our son is five years old.,,,de,zonen,,,,,,,,,false
dochter,daughter,A1,noun,People and family,Haar dochter leert zwemmen.,Her daughter is learning to swim.,,,de,dochters,,,,,,,,,false
broer,brother,A1,noun,People and family,Mijn broer woont dichtbij.,My brother lives nearby.,,,de,broers,,,,,,,,,false
zus,sister,A1,noun,People and family,Ik bel mijn zus.,I am calling my sister.,,,de,zussen,,,,,,,,,false
opa,grandpa,A1,noun,People and family,Opa zit in de tuin.,Grandpa is sitting in the garden.,,,de,opa's,,,,,,,,,false
oma,grandma,A1,noun,People and family,Oma komt op bezoek.,Grandma is coming to visit.,,,de,oma's,,,,,,,,,false
familie,family,A1,noun,People and family,Mijn familie is groot.,My family is large.,,,de,families,,,,,,,,,false
vriend,friend,A1,noun,People and family,Een vriend helpt me.,A friend is helping me.,May mean a male friend or a boyfriend; context distinguishes the relationship.,,de,vrienden,,,,,,,,,false
vriendin,female friend / girlfriend,A1,noun,People and family,Mijn vriendin heet Sara.,My friend is called Sara.,May mean a female friend or a girlfriend; context distinguishes the relationship.,,de,vriendinnen,,,,,,,,,false
naam,name,A1,noun,People and family,Wat is jouw naam?,What is your name?,,,de,namen,,,,,,,,,false
huis,house,A1,noun,At home,Ons huis heeft drie kamers.,Our house has three rooms.,,,het,huizen,,,,,,,,,false
kamer,room,A1,noun,At home,Mijn kamer is klein.,My room is small.,,,de,kamers,,,,,,,,,false
deur,door,A1,noun,At home,Doe de deur dicht.,Close the door.,,,de,deuren,,,,,,,,,false
raam,window,A1,noun,At home,Het raam staat open.,The window is open.,,,het,ramen,,,,,,,,,false
vloer,floor,A1,noun,At home,De tas staat op de vloer.,The bag is on the floor.,,,de,vloeren,,,,,,,,,false
muur,wall,A1,noun,At home,De muur is wit.,The wall is white.,,,de,muren,,,,,,,,,false
tafel,table,A1,noun,At home,We eten aan de tafel.,We eat at the table.,,,de,tafels,,,,,,,,,false
stoel,chair,A1,noun,At home,Deze stoel zit lekker.,This chair is comfortable.,,,de,stoelen,,,,,,,,,false
bank,sofa,A1,noun,At home,Ik zit op de bank.,I am sitting on the sofa.,The example uses sofa; the same headword can also mean a financial bank.,,de,banken,,,,,,,,,false
bed,bed,A1,noun,At home,Het kind ligt in bed.,The child is in bed.,,,het,bedden,,,,,,,,,false
kast,cupboard,A1,noun,At home,De borden staan in de kast.,The plates are in the cupboard.,,,de,kasten,,,,,,,,,false
lamp,lamp,A1,noun,At home,De lamp staat naast het bed.,The lamp is beside the bed.,,,de,lampen,,,,,,,,,false
keuken,kitchen,A1,noun,At home,Vader staat in de keuken.,Dad is in the kitchen.,,,de,keukens,,,,,,,,,false
badkamer,bathroom,A1,noun,At home,De badkamer is boven.,The bathroom is upstairs.,,,de,badkamers,,,,,,,,,false
