dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
aanbevelen,to recommend,B2,verb,Actions and processes,Kan ik u als dessert de fruitsalade aanbevelen?,May I recommend the fruit salad for dessert?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aanbevelen#Dutch. Example: vvv123 (Dutch, https://tatoeba.org/en/sentences/show/3560388) and mccarras (English, https://tatoeba.org/en/sentences/show/9022937); CC BY 2.0 FR.",B2;production,,,,irregular,true,hebben,aanbevolen,,,,false
aandoen,"to put on, don",B2,verb,Actions and processes,Wat zou ik aandoen: een broek of een rok?,What shall I put on: trousers or a skirt?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aandoen#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/3797937) and Dorenda (English, https://tatoeba.org/en/sentences/show/402555); CC BY 2.0 FR.",B2;production,,,,irregular,true,hebben,aangedaan,,,,false
aangaan,"to be a concern to, to concern",B2,verb,Actions and processes,Mijn doen en laten gaat jou helemaal niets aan.,My comings and goings are not your concern at all.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aangaan#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,irregular,true,zijn,aangegaan,,,,false
aanklagen,"to denounce, accuse, indict, sue",B2,verb,Actions and processes,Ik wil haar niet aanklagen.,I don't want to sue her.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aanklagen#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/11144806) and CH (English, https://tatoeba.org/en/sentences/show/3909303); CC BY 2.0 FR.",B2;production,,,,regular,true,hebben,aangeklaagd,,,,false
aankopen,"to purchase, to buy",B2,verb,Actions and processes,We moeten deze uit het buitenland aankopen.,We have to buy them from abroad.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aankopen#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/771955) and CK (English, https://tatoeba.org/en/sentences/show/21956); CC BY 2.0 FR.",B2;production,,,,irregular,true,hebben,aangekocht,,,,false
aanleren,to teach,B2,verb,Actions and processes,Ik kan je aanleren hoe dat te doen.,I can teach you how to do this.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aanleren#Dutch. Example: sdfke1 (Dutch, https://tatoeba.org/en/sentences/show/5461114) and Amastan (English, https://tatoeba.org/en/sentences/show/1739444); CC BY 2.0 FR.",B2;production,,,,regular,true,hebben,aangeleerd,,,,false
aanmaken,to create; to produce,B2,verb,Actions and processes,Je kunt op de website een nieuw account aanmaken.,You can create a new account on the website.,,B2;production,,,,regular,true,hebben,aangemaakt,,,,false
aanraden,"to suggest, advise",B2,verb,Actions and processes,Ik zou u aanraden om van hier weg te gaan.,I'd advise you to get out of here.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aanraden#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/13852668) and CK (English, https://tatoeba.org/en/sentences/show/11615285); CC BY 2.0 FR.",B2;production,,,,regular,true,hebben,aangeraden,,,,false
aanvallen,to attack,B2,verb,Actions and processes,Ik denk dat we onmiddellijk moeten aanvallen.,I think we should attack immediately.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aanvallen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/11521731) and CK (English, https://tatoeba.org/en/sentences/show/4495830); CC BY 2.0 FR.",B2;production,,,,irregular,true,hebben,aangevallen,,,,false
aanzien,to take for; to regard as,B2,verb,Actions and processes,Ik had hem voor de eigenaar aangezien.,I had mistaken him for the owner.,,B2;production,,,,irregular,true,hebben,aangezien,,,,false
afdwingen,to force; to secure,B2,verb,Actions and processes,Met argumenten kun je respect afdwingen.,You can command respect through reasoned arguments.,,B2;production,,,,irregular,true,hebben,afgedwongen,,,,false
afgaan,to go off,B2,verb,Actions and processes,Laat het alarm niet afgaan.,Don't set the alarm off.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afgaan#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/9763206) and megamanenm (English, https://tatoeba.org/en/sentences/show/9763207); CC BY 2.0 FR.",B2;production,,,,irregular,true,zijn,afgegaan,,,,false
afgeven,"to hand off, hand over, deliver",B2,verb,Actions and processes,Waar kan ik mijn bagage afgeven?,Where can I drop off my luggage?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afgeven#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/5854969) and Tom9358 (English, https://tatoeba.org/en/sentences/show/13875152); CC BY 2.0 FR.",B2;production,,,,irregular,true,hebben,afgegeven,,,,false
afhalen,"to pick up, take away",B2,verb,Actions and processes,Wanneer zal ik je morgen afhalen?,When should I pick you up tomorrow?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afhalen#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/3645206) and patgfisher (English, https://tatoeba.org/en/sentences/show/3331702); CC BY 2.0 FR.",B2;production,,,,regular,true,hebben,afgehaald,,,,false
afkomen,to get rid [with van ‘of’],B2,verb,Actions and processes,We moeten van haar afkomen.,We must get rid of her.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afkomen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/9735455) and CH (English, https://tatoeba.org/en/sentences/show/3911514); CC BY 2.0 FR.",B2;production,,,,irregular,true,zijn,afgekomen,,,,false
