@noun|Family and relationships
buurman|male neighbour|Onze buurman leent ons een ladder.|Our neighbour lends us a ladder.|de|buurmannen
buurvrouw|female neighbour|Ik drink thee bij de buurvrouw.|I am having tea at my neighbour's.|de|buurvrouwen
buurt|neighbourhood|Er wonen veel gezinnen in deze buurt.|Many families live in this neighbourhood.|de|buurten
gezin|family household|Ons gezin bestaat uit vier personen.|Our family consists of four people.|het|gezinnen
partner|partner|Mijn partner werkt in de zorg.|My partner works in healthcare.|de|partners
echtgenoot|husband|Haar echtgenoot haalt de kinderen op.|Her husband picks up the children.|de|echtgenoten
echtgenote|wife|Zijn echtgenote werkt in een museum.|His wife works in a museum.|de|echtgenotes
oom|uncle|Mijn oom woont aan de kust.|My uncle lives on the coast.|de|ooms
tante|aunt|Mijn tante komt morgen eten.|My aunt is coming for dinner tomorrow.|de|tantes
neef|nephew / male cousin|Mijn neef is de zoon van mijn zus.|My nephew is my sister's son.|de|neven
nicht|niece / female cousin|Mijn nicht is de dochter van mijn broer.|My niece is my brother's daughter.|de|nichten
kleinkind|grandchild|Oma past op haar kleinkind.|Grandma looks after her grandchild.|het|kleinkinderen
tweeling|twins (a pair)|De tweeling zit in dezelfde klas.|The twins are in the same class.|de|tweelingen
tiener|teenager|Als tiener speelde ik veel voetbal.|As a teenager I played a lot of football.|de|tieners
volwassene|adult|Kinderen reizen met een volwassene.|Children travel with an adult.|de|volwassenen
persoon|person|Er is plaats voor één persoon.|There is room for one person.|de|personen
relatie|relationship|Zij hebben een goede relatie.|They have a good relationship.|de|relaties
vriendschap|friendship|Onze vriendschap bestaat al tien jaar.|Our friendship has lasted ten years.|de|vriendschappen
bruiloft|wedding celebration|We gaan zaterdag naar een bruiloft.|We are going to a wedding on Saturday.|de|bruiloften
gast|guest|Elke gast krijgt een kop koffie.|Every guest gets a cup of coffee.|de|gasten
@noun|Personal details and contact
voornaam|first name|Vul hier je voornaam in.|Enter your first name here.|de|voornamen
achternaam|surname|Hoe schrijf je je achternaam?|How do you spell your surname?|de|achternamen
geboortedatum|date of birth|Wat is uw geboortedatum?|What is your date of birth?|de|geboortedata
geboorteplaats|place of birth|Mijn geboorteplaats is een klein dorp.|My birthplace is a small village.|de|geboorteplaatsen
leeftijd|age|De kinderen hebben dezelfde leeftijd.|The children are the same age.|de|leeftijden
nationaliteit|nationality|Welke nationaliteit hebt u?|What nationality are you?|de|nationaliteiten
handtekening|signature|Zet hier uw handtekening.|Put your signature here.|de|handtekeningen
formulier|form|Dit formulier heeft twee pagina's.|This form has two pages.|het|formulieren
postcode|postcode|Vul ook de postcode in.|Enter the postcode too.|de|postcodes
huisnummer|house number|Ons huisnummer is twaalf.|Our house number is twelve.|het|huisnummers
woonplaats|town of residence|Schrijf je woonplaats onder je adres.|Write your town below your address.|de|woonplaatsen
